,country,designation,points,price,province,region_1,region_2,variety,winery
222,France,Heissenberg,points_93,price_48.0,Alsace,region_1_Alsace,region_2_nan,Riesling,Domaine Ostertag
223,US,Stagecoach Vineyards The Biale Block,points_93,price_50.0,California,region_1_Napa Valley,region_2_Napa,Zinfandel,Robert Biale
224,Italy,Pajorè,points_93,price_58.0,Piedmont,region_1_Barbaresco,region_2_nan,Nebbiolo,Sottimano
225,France,,points_93,price_120.0,Bordeaux,region_1_Sauternes,region_2_nan,Bordeaux-style White Blend,Château Raymond-Lafon
226,US,Estate,points_93,price_50.0,California,region_1_Fort Ross-Seaview,region_2_Sonoma,Syrah,Red Car
227,US,Collaboration Series V Ciel du Cheval Vineyard,points_93,price_80.0,Washington,region_1_Red Mountain,region_2_Columbia Valley,Cabernet Sauvignon,Force Majeure
228,US,White Hawk Vineyard,points_93,price_40.0,California,region_1_Santa Barbara County,region_2_Central Coast,Syrah,Mulvane Wine Co.
229,Portugal,Quinta dos Quatro Ventos Reserva,points_93,price_41.0,Douro,region_1_nan,region_2_nan,Portuguese Red,Caves Aliança
230,US,Double Canyon Vineyard,points_93,price_48.0,Washington,region_1_Horse Heaven Hills,region_2_Columbia Valley,Cabernet Sauvignon,Double Canyon
231,US,Red Rock Terrace,points_93,price_200.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Diamond Creek
232,US,Ciel du Cheval Vineyard,points_93,price_39.0,Washington,region_1_Red Mountain,region_2_Columbia Valley,Petit Verdot,Côtes de Ciel
233,US,Kingpin,points_93,price_62.0,Washington,region_1_Red Mountain,region_2_Columbia Valley,Cabernet Sauvignon,Sparkman
234,Italy,,points_93,price_43.0,Piedmont,region_1_Barbaresco,region_2_nan,Nebbiolo,Punset
235,France,Domaine Saint-Rémy Schlosberg Grand Cru,points_92,price_35.0,Alsace,region_1_Alsace,region_2_nan,Riesling,Domaine Ehrhart
236,France,Pfersigberg Grand Cru,points_92,price_48.0,Alsace,region_1_Alsace,region_2_nan,Riesling,Domaine Zinck
237,France,Calcaire,points_92,price_55.0,Alsace,region_1_Alsace,region_2_nan,Riesling,Domaine Zind-Humbrecht
238,Portugal,Dona Maria Reserva,points_92,price_40.0,Alentejano,region_1_nan,region_2_nan,Portuguese Red,Dona Maria-Júlio Bastos
239,Italy,Coste Rubin,points_92,price_69.0,Piedmont,region_1_Barbaresco,region_2_nan,Nebbiolo,Fontanafredda
240,France,,points_88,price_16.0,Bordeaux,region_1_Blaye Côtes de Bordeaux,region_2_nan,Bordeaux-style Red Blend,Château Chantemerle
241,France,,points_88,price_16.0,Bordeaux,region_1_Bordeaux Blanc,region_2_nan,Bordeaux-style White Blend,Château Chaubinet
242,France,,points_88,price_nan,Bordeaux,region_1_Pessac-Léognan,region_2_nan,Bordeaux-style White Blend,Château Ferran
243,France,,points_88,price_15.0,Bordeaux,region_1_Côtes de Bourg,region_2_nan,Bordeaux-style Red Blend,Château Fongalan
244,France,,points_88,price_13.0,Bordeaux,region_1_Bordeaux Blanc,region_2_nan,Bordeaux-style White Blend,Château Mezain
245,US,,points_88,price_28.0,California,region_1_Carneros,region_2_Napa-Sonoma,Chardonnay,Clos du Val
246,US,Estate,points_88,price_36.0,Oregon,region_1_McMinnville,region_2_Willamette Valley,Pinot Noir,Coeur de Terre
247,Romania,La Umbra,points_88,price_9.0,Colinele Dobrogei,region_1_nan,region_2_nan,Rosé,Cramele Halewood
248,US,Limited Selection,points_88,price_24.0,California,region_1_Central Coast,region_2_Central Coast,Chardonnay,Daniel Gehrs
249,US,Cuvée Luke Saralee's Vineyard,points_88,price_30.0,California,region_1_Russian River Valley,region_2_Sonoma,Rhône-style White Blend,Davis Family
250,US,,points_88,price_25.0,California,region_1_Sonoma County,region_2_Sonoma,Merlot,Decoy
251,Italy,,points_88,price_34.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Reversanti
252,US,Wits' End,points_88,price_60.0,Oregon,region_1_Chehalem Mountains,region_2_Willamette Valley,Pinot Noir,Roco
253,US,Toyon Farm,points_88,price_54.0,California,region_1_Carneros,region_2_Napa-Sonoma,Pinot Noir,Saintsbury
254,US,Early,points_88,price_15.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Muscat,Silvan Ridge
255,Italy,Bussia,points_88,price_56.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Silvano Bolmida
256,US,Estate,points_88,price_20.0,California,region_1_Napa Valley,region_2_Napa,Sauvignon Blanc,St. Supéry
257,US,Guidotti Vineyard,points_88,price_61.0,California,region_1_Santa Lucia Highlands,region_2_Central Coast,Pinot Noir,Testarossa
258,Italy,,points_88,price_46.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Trediberri
259,Spain,Prestigio,points_88,price_30.0,Northern Spain,region_1_Cigales,region_2_nan,Tempranillo,Val de Los Frailes
260,Spain,Crianza,points_88,price_17.0,Central Spain,region_1_La Mancha,region_2_nan,Tempranillo Blend,Yuntero
261,France,Noctambule,points_88,price_nan,Loire Valley,region_1_Crémant de Loire,region_2_nan,Chenin Blanc-Chardonnay,Musset-Roullier
262,US,Querida,points_88,price_40.0,California,region_1_Paso Robles,region_2_Central Coast,Cabernet Sauvignon-Merlot,Oso Libre
263,US,Primoroso,points_88,price_39.0,California,region_1_Paso Robles,region_2_Central Coast,Red Blend,Oso Libre
264,Italy,del Comune di Serralunga d'Alba,points_88,price_49.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Palladino
265,France,Domaine de Saint-Pierre,points_88,price_23.0,Loire Valley,region_1_Sancerre,region_2_nan,Sauvignon Blanc,Pierre Prieur et Fils
266,US,,points_88,price_16.0,California,region_1_Monterey County,region_2_Central Coast,Pinot Grigio,Bargetto
267,US,Anna's Estate Vineyard,points_88,price_32.0,California,region_1_Paso Robles,region_2_Central Coast,Mourvèdre,Adelaida
268,US,,points_88,price_18.0,California,region_1_Santa Barbara County,region_2_Central Coast,Chardonnay,Alma Rosa
269,Argentina,Single Vineyard Reserva,points_88,price_15.0,Mendoza Province,region_1_Agrelo,region_2_nan,Cabernet Sauvignon,Lamadrid
270,France,Pertuisots Premier Cru,points_92,price_92.0,Burgundy,region_1_Beaune,region_2_nan,Pinot Noir,Domaine de Bellene
271,France,Clos du Cailleret Premier Cru,points_92,price_94.0,Burgundy,region_1_Chassagne-Montrachet,region_2_nan,Chardonnay,Domaine Vincent Girardin
272,US,Haynes Vineyard,points_92,price_58.0,California,region_1_Coombsville,region_2_Napa,Chardonnay,Failla
273,US,Suzuri Series Shake Ridge Ranch,points_92,price_50.0,California,region_1_Amador County,region_2_Sierra Foothills,Rhône-style Red Blend,Gallica
274,US,Vintage Brut,points_92,price_48.0,California,region_1_Russian River Valley,region_2_Sonoma,Sparkling Blend,J Vineyards & Winery
275,US,,points_92,price_32.0,California,region_1_Sonoma Coast,region_2_Sonoma,Pinot Noir,Les Voleurs
276,Italy,Sirmian,points_92,price_27.0,Northeastern Italy,region_1_Alto Adige,region_2_nan,Pinot Bianco,Nals Margreid
277,Portugal,Portal do Fidalgo,points_92,price_35.0,Vinho Verde,region_1_nan,region_2_nan,Alvarinho,Provam
278,Portugal,Mirabilis Grande Reserva,points_92,price_95.0,Douro,region_1_nan,region_2_nan,Portuguese White,Quinta Nova de Nossa Senhora do Carmo
279,US,Solomon Hills Vineyard,points_92,price_43.0,California,region_1_Santa Maria Valley,region_2_Central Coast,Pinot Noir,Ryan Cochrane
280,Italy,Monte Carbonare,points_92,price_33.0,Veneto,region_1_Soave Classico,region_2_nan,Garganega,Suavia
281,Italy,Quarz,points_92,price_60.0,Northeastern Italy,region_1_Alto Adige,region_2_nan,Sauvignon,Cantina Terlano
282,France,,points_92,price_nan,Southwest France,region_1_Cahors,region_2_nan,Malbec,Château du Cèdre
283,France,Réserve,points_92,price_30.0,Bordeaux,region_1_Graves,region_2_nan,Bordeaux-style Red Blend,Château Haut Selve
284,US,Lampyridae Vineyards,points_92,price_100.0,California,region_1_Mount Veeder,region_2_Napa,Cabernet Sauvignon,Communication Block
285,US,Le Mistral Vineyard,points_92,price_35.0,California,region_1_Monterey County,region_2_Central Coast,Syrah,Baker & Brain
286,France,Les Charmes Dessus,points_91,price_60.0,Burgundy,region_1_Santenay,region_2_nan,Chardonnay,Domaine de Bellene
287,France,Cuvée Germain,points_91,price_16.0,Southwest France,region_1_Côtes du Tarn,region_2_nan,Bordeaux-style Red Blend,Domaine D'en Ségur
288,France,Quintessence,points_91,price_40.0,Burgundy,region_1_Pouilly-Fuissé,region_2_nan,Chardonnay,Domaine Sangouard-Guyot
289,US,Clay Court,points_91,price_60.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Noir,Elk Cove
290,France,,points_91,price_100.0,Burgundy,region_1_Clos de Vougeot,region_2_nan,Pinot Noir,Evening Land
291,Portugal,,points_91,price_18.0,Alentejano,region_1_nan,region_2_nan,Touriga Nacional,Herdade de São Miguel
292,US,,points_91,price_16.0,Oregon,region_1_Oregon,region_2_Oregon Other,Pinot Gris,Iris Vineyards
293,US,Kruse Vineyards,points_91,price_42.0,California,region_1_Paso Robles,region_2_Central Coast,Syrah,Jack Creek
294,France,Cami Salié,points_91,price_nan,Southwest France,region_1_Jurançon Sec,region_2_nan,Gros and Petit Manseng,Lionel Osmin & Cie
295,US,Rosé of,points_91,price_20.0,California,region_1_Napa Valley,region_2_Napa,Pinot Noir,Brick & Mortar
296,Italy,Prail,points_91,price_25.0,Northeastern Italy,region_1_Alto Adige,region_2_nan,Sauvignon,Colterenzio
297,Italy,Puiten,points_91,price_23.0,Northeastern Italy,region_1_Alto Adige,region_2_nan,Pinot Grigio,Colterenzio
298,US,Estate Grown,points_91,price_38.0,California,region_1_Carneros,region_2_Napa-Sonoma,Pinot Noir,Cuvaison
299,US,Nova Vineyard,points_91,price_32.0,California,region_1_Clear Lake,region_2_Mendocino/Lake Counties,Zinfandel,De Loach
300,US,The Funk Estate,points_94,price_60.0,Washington,region_1_Walla Walla Valley (WA),region_2_Columbia Valley,Syrah,Saviah
301,US,Estate Bottled,points_94,price_30.0,California,region_1_Napa Valley,region_2_Napa,Riesling,Smith-Madrone
302,Italy,Vigneto Monte Sant'Urbano,points_94,price_85.0,Veneto,region_1_Amarone della Valpolicella Classico,region_2_nan,Red Blend,Speri
303,US,White,points_94,price_30.0,California,region_1_Napa Valley,region_2_Napa,Riesling,Stony Hill
304,US,Sierra Madre Vineyard,points_94,price_65.0,California,region_1_Santa Maria Valley,region_2_Central Coast,Pinot Noir,Testarossa
305,New Zealand,Maté's Vineyard,points_94,price_57.0,Kumeu,region_1_nan,region_2_nan,Chardonnay,Kumeu River
306,US,Bergström Vineyard,points_94,price_90.0,Oregon,region_1_Dundee Hills,region_2_Willamette Valley,Pinot Noir,Bergström
307,US,Angel Hawk,points_94,price_85.0,California,region_1_Anderson Valley,region_2_Mendocino/Lake Counties,Pinot Noir,Black Kite
308,US,King Ridge Vineyard Hirsch Selection,points_94,price_70.0,California,region_1_Fort Ross-Seaview,region_2_Sonoma,Pinot Noir,Blue Farm
309,US,Evenstad Reserve,points_94,price_70.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Noir,Domaine Serene
310,US,Bacigalupi Vineyard,points_94,price_60.0,California,region_1_Russian River Valley,region_2_Sonoma,Pinot Noir,Gary Farrell
311,Italy,Contrada Salvarenza Vecchie Vigne,points_94,price_38.0,Veneto,region_1_Soave Classico,region_2_nan,Garganega,Gini
312,Italy,La Froscà,points_94,price_29.0,Veneto,region_1_Soave Classico,region_2_nan,Garganega,Gini
313,US,Outer Limits,points_94,price_155.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Parallel
314,US,Durant Vineyard Bishop Block,points_94,price_48.0,Oregon,region_1_Dundee Hills,region_2_Willamette Valley,Pinot Noir,Patricia Green Cellars
315,US,Godspeed,points_94,price_95.0,California,region_1_Mount Veeder,region_2_Napa,Cabernet Sauvignon,Sbragia
316,US,Tognetti Vineyard Brut,points_94,price_80.0,California,region_1_Carneros,region_2_Napa-Sonoma,Sparkling Blend,Schramsberg
317,US,Ribbon Ridge Estate,points_94,price_49.0,Oregon,region_1_Ribbon Ridge,region_2_Willamette Valley,Pinot Noir,Trisaetum
318,France,Château Montus,points_94,price_35.0,Southwest France,region_1_Madiran,region_2_nan,Tannat-Cabernet,Vignobles Brumont
319,US,Old Stones,points_94,price_50.0,Washington,region_1_Walla Walla Valley (WA),region_2_Columbia Valley,Syrah,Waters
320,France,La Bégude,points_94,price_44.0,Provence,region_1_Bandol,region_2_nan,Provence red blend,Domaine de la Bégude
321,Spain,QP,points_94,price_68.0,Northern Spain,region_1_Rioja,region_2_nan,Tempranillo Blend,Bodega Classica
322,France,,points_94,price_20.0,Provence,region_1_Coteaux d'Aix-en-Provence,region_2_nan,Rosé,Château Vignelaure
323,Spain,Prestigio Pago de las Solanas,points_94,price_nan,Northern Spain,region_1_Ribera del Duero,region_2_nan,Red Blend,Matarromera
324,US,Pellet Vineyard,points_94,price_95.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Pellet Estate
325,France,La Bégude,points_94,price_44.0,Provence,region_1_Bandol,region_2_nan,Provence red blend,Domaine de la Bégude
326,Argentina,Alta Barrancas Vineyards,points_94,price_50.0,Mendoza Province,region_1_Mendoza,region_2_nan,Cabernet Sauvignon,Pascual Toso
327,France,Garrus,points_94,price_100.0,Provence,region_1_Côtes de Provence,region_2_nan,Rosé,Château d'Esclans
328,France,Cuvée Marguerite Massaut,points_94,price_70.0,Southwest France,region_1_Cahors,region_2_nan,Malbec,Château Lagrézette
329,US,Aurora Vineyard,points_94,price_63.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Chardonnay,Ponzi
330,Italy,Monvigliero,points_91,price_75.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Fratelli Alessandria
331,Germany,Graacher Himmelreich Kabinett,points_91,price_23.0,Mosel,region_1_nan,region_2_nan,Riesling,Friedrich-Wilhelm-Gymnasium
332,US,Latro,points_91,price_50.0,California,region_1_Knights Valley,region_2_Sonoma,Cabernet Sauvignon,Galerie
333,Spain,Etiqueta Ambar,points_91,price_22.0,Galicia,region_1_Rías Baixas,region_2_nan,Albariño,Granbazán
334,US,Grieve Family Vineyard,points_91,price_45.0,California,region_1_Napa Valley,region_2_Napa,Sauvignon Blanc,Grieve
335,Portugal,Grande Rocim Reserva,points_91,price_130.0,Alentejano,region_1_nan,region_2_nan,Alicante Bouschet,Herdade do Rocim
336,US,XCV,points_91,price_38.0,California,region_1_Paso Robles Willow Creek District,region_2_Central Coast,Rhône-style White Blend,Jada Vineyard & Winery
337,US,,points_91,price_30.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Noir,La Crema
338,US,Rosé of,points_91,price_22.0,California,region_1_Knights Valley,region_2_Sonoma,Syrah,Lawer
339,Italy,Bergera Pezzole,points_91,price_nan,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Le Strette
340,Italy,Coste di Rose,points_91,price_90.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Marchesi di Barolo
341,US,Emblem Oso Vineyard,points_91,price_60.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Michael Mondavi Family Estate
342,Italy,Brunate,points_91,price_115.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Oddero
343,US,Estate Cuvée,points_91,price_55.0,California,region_1_Russian River Valley,region_2_Sonoma,Pinot Noir,Small Vines
344,Portugal,Telhas,points_91,price_30.0,Alentejano,region_1_nan,region_2_nan,Rhône-style Red Blend,Terras de Alter
345,Portugal,Terra d'Alter,points_91,price_14.0,Alentejano,region_1_nan,region_2_nan,Aragonês,Terras de Alter
346,US,Lone Oak Vineyard,points_91,price_48.0,California,region_1_Santa Lucia Highlands,region_2_Central Coast,Chardonnay,Testarossa
347,US,Starr Ridge Vineyard Estate,points_91,price_40.0,California,region_1_Russian River Valley,region_2_Sonoma,Chardonnay,Thomas George
348,Germany,Saulheimer Probstey Trocken,points_91,price_39.0,Rheinhessen,region_1_nan,region_2_nan,Silvaner,Thörle
349,Italy,Paesi Tuoi,points_91,price_60.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Vite Colte
350,US,Sierra Madre Vineyard,points_91,price_50.0,California,region_1_Santa Maria Valley,region_2_Central Coast,Chardonnay,Wedell Cellars
351,US,Juliard Vineyard,points_91,price_48.0,Oregon,region_1_Dundee Hills,region_2_Willamette Valley,Pinot Noir,Winderlea
352,France,Grand Cru Blanc de Blancs Chouilly Brut,points_91,price_54.0,Champagne,region_1_Champagne,region_2_nan,Chardonnay,A.R. Lenoble 
353,Portugal,Garrafeira,points_91,price_42.0,Alentejo,region_1_nan,region_2_nan,Portuguese Red,Adega Cooperativa de Borba
354,US,Brut Rosé,points_91,price_50.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Sparkling Blend,Argyle
355,Israel,,points_91,price_40.0,Golan Heights,region_1_nan,region_2_nan,Cabernet Sauvignon,Bazelet HaGolan
356,US,Rosella's Vineyard,points_91,price_40.0,California,region_1_Santa Lucia Highlands,region_2_Central Coast,Chardonnay,Bernardus
357,US,,points_91,price_42.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Noir,Big Table Farm
358,Italy,Parej,points_91,price_85.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Icardi
359,Spain,Crianza,points_91,price_32.0,Northern Spain,region_1_Ribera del Duero,region_2_nan,Tempranillo,Matarromera
360,US,Cuore della Vigne,points_90,price_41.0,California,region_1_Paso Robles,region_2_Central Coast,Red Blend,Le Vigne
361,US,Kiler Grove Vineyard,points_90,price_27.0,California,region_1_Paso Robles Willow Creek District,region_2_Central Coast,Ugni Blanc,Paix Sur Terre
362,US,Winemaker's Reserve,points_90,price_29.0,Oregon,region_1_Umpqua Valley,region_2_Southern Oregon,Grüner Veltliner,Reustle
363,France,Galets Oligocène,points_90,price_33.0,Alsace,region_1_Alsace,region_2_nan,Pinot Noir,Domaine Bott-Geyl
364,France,,points_90,price_70.0,Burgundy,region_1_Gevrey-Chambertin,region_2_nan,Pinot Noir,Domaine Faiveley
365,US,,points_90,price_19.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Noir,Pike Road
366,Italy,,points_90,price_22.0,Sicily & Sardinia,region_1_Vittoria,region_2_nan,Frappato,Planeta
367,Germany,Dry,points_90,price_25.0,Württemberg,region_1_nan,region_2_nan,Lemberger,Schnaitmann
368,France,Vieilles Vignes,points_90,price_27.0,Alsace,region_1_Alsace,region_2_nan,Sylvaner,Domaine Ostertag
369,France,Vieilles Vignes,points_90,price_22.0,Alsace,region_1_Alsace,region_2_nan,Chasselas,Domaine Schoffit
370,France,Zind,points_90,price_30.0,Alsace,region_1_Alsace,region_2_nan,Alsace white blend,Domaine Zind-Humbrecht
371,US,,points_90,price_15.0,Oregon,region_1_Oregon,region_2_Oregon Other,Pinot Gris,Firesteed
372,US,Sisters Estate,points_90,price_45.0,Oregon,region_1_Dundee Hills,region_2_Willamette Valley,Pinot Noir,The Eyrie Vineyards
373,France,Domaine du Pavillon Clos des Ursulines,points_90,price_80.0,Burgundy,region_1_Pommard,region_2_nan,Pinot Noir,Albert Bichot
374,Italy,Adenzia,points_90,price_nan,Sicily & Sardinia,region_1_Sicilia,region_2_nan,White Blend,Baglio del Cristo di Campobello
375,Italy,SP68 Bianco,points_90,price_nan,Sicily & Sardinia,region_1_Terre Siciliane,region_2_nan,White Blend,Occhipinti
376,US,,points_90,price_18.0,Oregon,region_1_Oregon,region_2_Oregon Other,Albariño,J. Scott Cellars
377,Italy,,points_90,price_19.0,Southern Italy,region_1_Greco di Tufo,region_2_nan,Greco,Villa Raiano
378,Germany,Bernkasteler Badstube Kabinett,points_90,price_31.0,Mosel,region_1_nan,region_2_nan,Riesling,Dr. H. Thanisch (Erben Thanisch)
379,US,,points_90,price_15.0,California,region_1_California,region_2_California Other,Cabernet Sauvignon,Hahn
380,US,,points_90,price_15.0,California,region_1_North Coast,region_2_North Coast,Cabernet Sauvignon,Lyeth
381,US,Classic Collection,points_90,price_24.0,California,region_1_Napa Valley,region_2_Napa,Merlot,Napa Cellars
382,US,Rector Creek Vineyard,points_90,price_80.0,California,region_1_Napa Valley,region_2_Napa,Red Blend,Paraduxx
383,Spain,Reserva,points_90,price_35.0,Northern Spain,region_1_Ribera del Duero,region_2_nan,Tempranillo,Quintana de Cue
384,Germany,Trocken,points_90,price_40.0,Ahr,region_1_nan,region_2_nan,Früburgunder,Winzergenossenschaft Mayschoss-Altenahr
385,Spain,Orquestal,points_90,price_28.0,Central Spain,region_1_La Mancha,region_2_nan,Tempranillo,Casa del Valle
386,US,,points_90,price_50.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Freemark Abbey
387,US,Olson Vineyard,points_90,price_28.0,California,region_1_Dry Creek Valley,region_2_Sonoma,Cabernet Sauvignon,Joleté
388,US,The Truant,points_90,price_36.0,California,region_1_California,region_2_California Other,Rhône-style Red Blend,Prospect 772
389,US,,points_90,price_40.0,California,region_1_Red Hills Lake County,region_2_Mendocino/Lake Counties,Cabernet Sauvignon,Boatique
390,US,Proprietor's Reserve,points_90,price_50.0,California,region_1_Central Coast,region_2_Central Coast,Chardonnay,Hearst Ranch
391,US,Cabovation Destiny Vineyards Mt. Christo Block Reserve,points_90,price_75.0,California,region_1_Paso Robles,region_2_Central Coast,Cabernet Sauvignon,Hunt Cellars
392,Italy,,points_90,price_60.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,La Fiorita
393,US,Seven Hills Vineyard,points_90,price_46.0,Washington,region_1_Walla Walla Valley (WA),region_2_Columbia Valley,Malbec,Merry Cellars
394,Canada,Compendium,points_90,price_70.0,British Columbia,region_1_Okanagan Valley,region_2_nan,Bordeaux-style Red Blend,Mission Hill
395,Spain,Albariño de Fefiñanes,points_90,price_26.0,Galicia,region_1_Rías Baixas,region_2_nan,Albariño,Palacio de Fefiñanes
396,France,Terre de Maimbray,points_90,price_nan,Loire Valley,region_1_Sancerre,region_2_nan,Pinot Noir,Pascal & Nicolas Reverdy
397,Italy,Villa al Cortile Riserva,points_90,price_60.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Piccini
398,Italy,Riserva,points_90,price_75.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Pietranera
399,Moldova,Alb de Purcari,points_90,price_32.0,Moldova,region_1_nan,region_2_nan,White Blend,Purcari
400,Italy,Riserva,points_90,price_95.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Renieri
401,Italy,,points_90,price_60.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Podere Scopetone
402,Italy,,points_90,price_70.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Sesta di Sopra
403,US,Trois Fleurs,points_90,price_20.0,California,region_1_Santa Ynez Valley,region_2_Central Coast,White Blend,Carlson
404,France,Cuvée Setier,points_90,price_27.0,Rhône Valley,region_1_Côtes du Rhône Villages,region_2_nan,Rhône-style Red Blend,Château Pégau
405,France,Cuvée de Nalys,points_90,price_20.0,Rhône Valley,region_1_Châteauneuf-du-Pape,region_2_nan,Rhône-style Red Blend,Kirkland Signature
406,US,Kate's + B's,points_90,price_75.0,California,region_1_Alexander Valley,region_2_Sonoma,Cabernet Sauvignon,Medlock Ames
407,US,New Generation,points_90,price_28.0,California,region_1_Russian River Valley,region_2_Sonoma,Sauvignon Blanc,Passaggio
408,US,,points_90,price_60.0,California,region_1_Napa Valley,region_2_Napa,Chardonnay,Patland
409,US,Signpost,points_90,price_22.0,California,region_1_Sonoma Coast,region_2_Sonoma,Chardonnay,Trig Point
410,Spain,Mirlo Blanco,points_90,price_49.0,Spain Other,region_1_Spain,region_2_nan,White Blend,Valquejigoso
411,Hungary,Steiner,points_90,price_35.0,Sopron,region_1_nan,region_2_nan,Kekfrankos,Weninger
412,Italy,,points_90,price_90.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Tenuta di Sesta
413,US,,points_90,price_30.0,California,region_1_Russian River Valley,region_2_Sonoma,Chardonnay,Terlato
414,US,,points_90,price_35.0,California,region_1_Alexander Valley,region_2_Sonoma,Cabernet Sauvignon,The Calling
415,US,Elevation Annadel Gap Vineyard Estate,points_90,price_38.0,California,region_1_Sonoma Valley,region_2_Sonoma,Rhône-style Red Blend,Westwood
416,US,,points_90,price_22.0,California,region_1_Lodi,region_2_Central Valley,Tempranillo,Fenestra
417,Italy,Berardo Riserva,points_90,price_30.0,Tuscany,region_1_Chianti Classico,region_2_nan,Sangiovese,Castello di Bossi
418,Italy,,points_90,price_32.0,Tuscany,region_1_Vino Nobile di Montepulciano,region_2_nan,Red Blend,Cecchi
419,Italy,Riserva,points_90,price_35.0,Tuscany,region_1_Chianti Classico,region_2_nan,Sangiovese,Cafaggio
420,US,,points_87,price_36.0,Washington,region_1_Columbia Valley (WA),region_2_Columbia Valley,Cabernet Sauvignon,Dussek Family Cellars
421,US,Rapscallion,points_87,price_30.0,California,region_1_Paso Robles,region_2_Central Coast,Zinfandel,League of Rogues
422,US,,points_87,price_20.0,New York,region_1_Finger Lakes,region_2_Finger Lakes,Cabernet Franc,Serenity
423,US,Weinbau,points_87,price_32.0,Washington,region_1_Wahluke Slope,region_2_Columbia Valley,Grenache,Sol Stone
424,Spain,Yá Cuvée 23 Brut Rosé,points_87,price_18.0,Catalonia,region_1_Cava,region_2_nan,Sparkling Blend,Sumarroca
425,Spain,Crianza,points_87,price_27.0,Northern Spain,region_1_Ribera del Duero,region_2_nan,Tempranillo,Trus
426,US,,points_87,price_20.0,Washington,region_1_Columbia Valley (WA),region_2_Columbia Valley,Sauvignon Blanc,Va Piano
427,France,Cuvée Lucie,points_87,price_nan,Bordeaux,region_1_Médoc,region_2_nan,Bordeaux-style Red Blend,Les Hauts de Tousquiron
428,US,Chandler Vineyard,points_87,price_30.0,California,region_1_Livermore Valley,region_2_Central Coast,Chardonnay,McGrail
429,US,Freakshow,points_87,price_20.0,California,region_1_Lodi,region_2_Central Valley,Cabernet Sauvignon,Michael David
430,US,Reserve,points_87,price_23.0,Idaho,region_1_nan,region_2_nan,Cabernet Sauvignon,3 Horse Ranch Vineyards
431,US,Southern,points_87,price_22.0,Washington,region_1_Yakima Valley,region_2_Columbia Valley,Rhône-style White Blend,Cairdeas
432,Italy,Vigna Poggio Ronconi,points_87,price_75.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Citille di Sopra
433,Italy,Filo di Seta,points_87,price_98.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Castello Romitorio
434,France,,points_87,price_nan,Bordeaux,region_1_Graves,region_2_nan,Bordeaux-style White Blend,Château de Portets
435,US,,points_87,price_20.0,California,region_1_Paso Robles,region_2_Central Coast,Cabernet Sauvignon,Villa San Juliette
436,US,Unoaked,points_87,price_22.0,Idaho,region_1_nan,region_2_nan,Chardonnay,Hat Ranch
437,US,Chicken Dinner,points_87,price_16.0,Idaho,region_1_nan,region_2_nan,White Blend,Huston
438,Italy,Pagliatura,points_87,price_28.0,Tuscany,region_1_Maremma Toscana,region_2_nan,Vermentino,Fattoria di Magliano
439,Spain,Buleria Fino,points_87,price_25.0,Andalucia,region_1_Jerez,region_2_nan,Sherry,Bodegas Dios Baco S.L.
440,Italy,Scirè,points_87,price_17.0,Tuscany,region_1_Bolgheri,region_2_nan,Red Blend,Ceralti
441,US,Dry,points_87,price_17.0,Idaho,region_1_nan,region_2_nan,Riesling,Coiled
